Region_Code,Region,Total_Population
00000,All Japan,123802000
01000,Hokkaido,5043000
02000,Aomori,1165000
03000,Iwate,1145000
04000,Miyagi,2248000
05000,Akita,897000
06000,Yamagata,1011000
07000,Fukushima,1743000
08000,Ibaraki,2806000
09000,Tochigi,1885000
10000,Gunma,1890000
11000,Saitama,7332000
12000,Chiba,6251000
13000,Tokyo,14178000
14000,Kanagawa,9225000
15000,Niigata,2099000
16000,Toyama,997000
17000,Ishikawa,1098000
18000,Fukui,739000
19000,Yamanashi,791000
20000,Nagano,1987000
21000,Gifu,1916000
22000,Shizuoka,3527000
23000,Aichi,7460000
24000,Mie,1711000
25000,Shiga,1402000
26000,Kyoto,2520000
27000,Osaka,8757000
28000,Hyogo,5337000
29000,Nara,1285000
30000,Wakayama,880000
31000,Tottori,531000
32000,Shimane,642000
33000,Okayama,1831000
34000,Hiroshima,2714000
35000,Yamaguchi,1281000
36000,Tokushima,685000
37000,Kagawa,917000
38000,Ehime,1276000
39000,Kochi,656000
40000,Fukuoka,5092000
41000,Saga,788000
42000,Nagasaki,1252000
43000,Kumamoto,1697000
44000,Oita,1085000
45000,Miyazaki,1033000
46000,Kagoshima,1532000
47000,Okinawa,1466000
